sector,asset_id,old_top_parent,new_top_parent,immediate_owner_also_changed
Bioenergy Power,G100000200043,E100000000660|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000660|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100001020991,E100000001247,E100000001247|E100000123261|E100001000348|E100001010595|E100001015587|E100001015833,False
Bioenergy Power,G100000201354,E100000001976,E100000123261|E100001015587|E100002017473|E100002017475,False
Bioenergy Power,G100000200713,E100002003014|E100002004726,E100002001974|E100002003014|E100002004726,False
Bioenergy Power,G100000201674,E100000001654|E100001000088|E100001010403|E100001015587|E100002000200,E100000001654|E100000123261|E100001000088|E100001010403|E100001015587|E100002000200|E100002021981,False
Bioenergy Power,G100000200747,E100001001020|E100001011023|E100001015587,E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001001020|E100001010595|E100001010596|E100001011023|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002016862|E100002022203,True
Bioenergy Power,G100000200383,E100000132444|E100001010899,E100000132444,False
Bioenergy Power,G100000201551,E100002003313,E100000123261|E100002015787|E100002016468,False
Bioenergy Power,G100000200026,E100000000657|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016127|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000657|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Bioenergy Power,G100000400524,E100000000376|E100000000388|E100000123261|E100001000348|E100001010595|E100001011055|E100001015587|E100001015833|E100002001974|E100002003368,E100000000376|E100000000388|E100000123261|E100001000079|E100001000348|E100001010595|E100001011055|E100001015587|E100001015833|E100001016749|E100002001974|E100002002996|E100002003368|E100002021876|E100002021877,False
