entity_id,name,hq,mw_2025_zero,mw_2025_impute,mw_2026_zero,mw_2026_impute
E100001011243,Essity AB,Sweden,29.0,29.0,29.0,29.0
E100000132348,Warrior Met Coal Inc,United States,0.0,0.0,0.0,0.0
E100000000735,Akzo Nobel NV,Netherlands,573.0,573.0,573.0,573.0
E100000001586,Motor Oil Hellas SA,Greece,0.0,0.0,591.31,591.31
E100000001597,Newmont Corp,United States,228.45,228.45,228.45,228.45
E100001014433,Chesapeake Utilities Corp,United States,0.0,0.0,0.0,0.0
E100000000025,Lenzing AG,Austria,0.0,0.0,99.97,99.97
E100001000174,Schroders PLC,United Kingdom,0.0,0.0,0.0,0.0
E100001014874,NGL Energy Partners LP,United States,0.0,0.0,0.0,0.0
E100001015850,Plains GP Holdings LP,United States,0.0,0.0,0.0,0.0
E100000001137,Alphabet Inc,United States,0.0,130.67,129.75,129.75
E100002002945,abrdn PLC,United Kingdom,0.0,0.0,0.0,0.0
E100000001303,TexGen Power LLC,United States,0.0,0.0,853.0,853.0
E100000000353,Seaboard Corp,United States,261.0,261.0,261.0,261.0
E100001014582,Diamondback Energy Inc,United States,0.0,0.0,0.0,0.0
E100000001265,New Fortress Energy Inc,United States,270.0,270.0,120.0,120.0
E100000001307,The Procter & Gamble Co,United States,168.0,168.0,168.0,168.0
E100000001905,Wacker Chemie AG,Germany,238.0,238.0,238.0,238.0
E100002016647,Mohawk Industries Inc,United States,0.0,0.0,0.0,0.0
E100002016630,KBC Groep NV,Belgium,0.0,0.0,0.0,0.0
E100002005176,Breedon Group PLC,United Kingdom,0.0,0.0,0.0,0.0
E100002006768,Hoffman Green Cement Technologies SA,France,0.0,0.0,0.0,0.0
E100001014363,Delek Logistics Partners LP,United States,0.0,0.0,0.0,0.0
E100000000991,BKW AG,Switzerland,0.0,0.0,263.65,263.65
E100002016305,BKV Corp,United States,0.0,0.0,401.5,401.5
E100000149640,Savannah Energy PLC,United Kingdom,0.0,0.0,0.0,0.0
E100001015543,New Jersey Resources Corp,United States,0.0,0.0,0.0,0.0
E100000001260,Morgan Stanley ,United States,825.95,825.95,837.99,837.99
E100000131604,Ferroglobe PLC,United Kingdom,0.0,0.0,0.0,0.0
E100000000741,LyondellBasell Industries NV,United Kingdom,54.12,54.12,56.41,56.41
E100001012038,Par Pacific Holdings Inc,United States,44.2,44.2,44.2,44.2
E100001014347,CHS Inc,United States,0.0,0.0,0.0,0.0
E100000000747,Stellantis NV,Netherlands,144.0,144.0,144.0,144.0
E100002016955,DigitalBridge Group Inc,United States,0.0,0.0,292.0,292.0
E100001014694,Equitrans Midstream Corp,United States,0.0,0.0,0.0,0.0
E100001015325,Spire Inc,United States,0.0,0.0,0.0,0.0
E100001015290,MasTec Inc,United States,0.0,0.0,0.0,0.0
E100001016091,EQT Corp,United States,0.0,0.0,0.0,0.0
E100001000937,Microsoft Corp,United States,0.0,0.0,197.3,197.3
E100001016206,Apollo Global Management Inc,United States,0.0,0.0,0.0,0.0
E100000132496,Altri SGPS SA,Portugal,0.0,0.0,0.0,0.0
E100001010234,Goldman Sachs Group Inc,United States,0.0,0.0,0.0,0.0
E100002002980,Holmen AB,Sweden,0.0,0.0,0.0,0.0
E100000000424,Linde PLC,United Kingdom,362.6,362.6,362.6,362.6
E100000001271,Olin Corp,United States,0.0,0.0,678.0,678.0
E100001014067,Aker BP ASA,Norway,0.0,0.0,0.0,0.0
E100000001895,Siemens Energy AG,Germany,1338.0,1338.0,3010.0,3010.0
E100000000368,Neste Oyj,Finland,60.8,60.8,60.8,60.8
E100000001873,Mercedes-Benz Group AG,Germany,130.0,130.0,130.0,130.0
E100001016841,Sylvamo Corp,United States,0.0,0.0,0.0,0.0
E100000001122,SDCL Energy Efficiency Income Trust PLC,United Kingdom,0.0,0.0,145.0,145.0
E100000002326,SunCoke Energy Inc,United States,134.0,134.0,134.0,134.0
E100000001379,Antin Infrastructure Partners SAS,France,345.0,345.0,132.0,132.0
E100001015606,OKEA ASA,Norway,0.0,0.0,0.0,0.0
E100001014677,Energean PLC,United Kingdom,0.0,0.0,0.0,0.0
E100002019782,DNB Bank ASA,Norway,0.0,0.0,0.0,0.0
E100001014954,EOG Resources Inc,United States,0.0,0.0,0.0,0.0
E100002007205,Martin Marietta Materials Inc,United States,0.0,0.0,0.0,0.0
E100001015137,FTAI Infrastructure Inc,United States,0.0,0.0,0.0,0.0
E100001014154,Etablissements Maurel & Prom SA,France,0.0,0.0,0.0,0.0
E100002006269,Peab AB,Sweden,0.0,0.0,0.0,0.0
E100000155483,Atmos Energy Corp,United States,0.0,0.0,0.0,0.0
E100001014568,BlueNord ASA,Norway,0.0,0.0,0.0,0.0
E100001014572,Delek US Holdings Inc,United States,0.0,0.0,0.0,0.0
E100001014952,HitecVision AS,Norway,0.0,0.0,0.0,0.0
E100002007792,Compagnie De Saint-Gobain SA,France,0.0,0.0,0.0,0.0
E100001014793,Gas Plus SpA,Italy,0.0,0.0,0.0,0.0
E100002005151,DNO ASA,Norway,0.0,0.0,0.0,0.0
E100000001212,Exelon Corp,United States,1925.0,1925.0,105.0,105.0
E100002017760,Summit Midstream Corp,United States,0.0,0.0,0.0,0.0
E100002017821,Banco Santander SA,Spain,0.0,0.0,266.0,266.0
E100001011690,Eversource Energy ,United States,18.97,18.97,18.97,18.97
E100000001126,Tate & Lyle PLC,United Kingdom,65.0,65.0,65.0,65.0
E100001011003,Caterpillar Inc,United States,0.0,69.3,34.65,34.65
E100002018551,GE Vernova Inc,United States,0.0,0.0,135.0,135.0
E100000003609,NET Power Inc,United States,50.0,50.0,50.0,50.0
E100002007946,Excelerate Energy Inc,United States,0.0,0.0,150.0,150.0
E100000000773,Wärtsilä Oyj,Finland,0.0,114.76,28.69,28.69
E100002005662,Eastman Chemical Co,United States,0.0,468.0,468.0,468.0
E100000120426,Eramet SA,France,230.18,230.18,198.0,198.0
E100002016367,Greenidge Generation Holdings Inc,United States,0.0,0.0,112.0,112.0
E100000000051,Tessenderlo Group ,Belgium,0.0,0.0,422.0,422.0
E100000152186,Heineken NV,Netherlands,0.0,0.0,0.0,0.0
E100000001975,Avio SpA,Italy,17.6,17.6,17.6,17.6
E100000001977,ERG SpA,Italy,99.0,99.0,99.0,99.0
E100000002474,AstraZeneca PLC,United Kingdom,23.0,23.0,23.0,23.0
E100002000725,Starwood Real Estate Income Trust Inc,United States,0.0,0.0,30.0,30.0
E100000000397,Bertelsmann SE & Co KGaA,Germany,0.0,0.0,25.0,25.0
E100000001880,Henkel AG & Co. KGaA,Germany,84.0,84.0,84.0,84.0
E100000001195,Dupont Inc,United States,143.8,143.8,5.77,5.77
E100002004703,DCC PLC,Ireland,24.0,24.0,24.0,24.0
E100000001215,FMC Corp,United States,0.0,0.0,25.0,25.0
E100002001024,Porsche Automobil Holding SE,Germany,45.93,45.93,22.95,22.95
E100001015007,Ferrovial SE,Netherlands,0.0,0.0,0.0,0.0
E100002016943,Maire SpA,Italy,0.0,0.0,0.0,0.0
E100000131654,Hallador Energy Co,United States,0.0,0.0,0.0,0.0
