LEI,ISIN,domestic,equity_like,lei,name,hq,n_assets,lookthrough_assets
2138003TO2MTRHWVP686,GRS145003000,True,True,2138003TO2MTRHWVP686,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,5,4.5
21380057TNFLXPXBIP34,GB00BPJHV584,True,True,21380057TNFLXPXBIP34,Ithaca Energy PLC,United Kingdom,4,0.628
2138005GCFJACFTZUD90,GB00BYW6GV68,True,True,2138005GCFJACFTZUD90,Ferroglobe PLC,United Kingdom,2,2.0
21380068P1DRHMJ8KU70,GB00BP6MXD84,True,True,21380068P1DRHMJ8KU70,Shell PLC,United Kingdom,110,56.106500000000025
21380068P1DRHMJ8KU70,GB00BV6PWB09,True,True,21380068P1DRHMJ8KU70,Shell PLC,United Kingdom,110,56.106500000000025
2138008K14474WPKZ244,GB00BP92CJ43,True,True,2138008K14474WPKZ244,Tate & Lyle PLC,United Kingdom,1,1.0
2138008LJU6WFQWOXJ73,GB00B635TG28,True,True,2138008LJU6WFQWOXJ73,Enquest PLC,United Kingdom,4,2.1189999999999998
213800AKSTYRLHY3X497,PTALT0AE0002,True,True,213800AKSTYRLHY3X497,Altri SGPS SA,Portugal,2,1.5
213800AKSTYRLHY3X497,PTALTHOM0005,True,True,213800AKSTYRLHY3X497,Altri SGPS SA,Portugal,2,1.5
213800AKSTYRLHY3X497,PTALTIOM0004,True,True,213800AKSTYRLHY3X497,Altri SGPS SA,Portugal,2,1.5
213800AKSTYRLHY3X497,PTALTJOM0003,True,True,213800AKSTYRLHY3X497,Altri SGPS SA,Portugal,2,1.5
213800AKSTYRLHY3X497,PTALTKOM0000,True,True,213800AKSTYRLHY3X497,Altri SGPS SA,Portugal,2,1.5
213800CEDKSNUTPAQZ41,GB00B1XH2C03,True,True,213800CEDKSNUTPAQZ41,Ferrexpo PLC,United Kingdom,3,3.0
213800DM8OBVX8QWUR14,SE0000112252,True,True,213800DM8OBVX8QWUR14,Rottneros AB,Sweden,1,1.0
213800DQGNQE3X76WS92,GB00BM8NFJ84,True,True,213800DQGNQE3X76WS92,Breedon Group PLC,United Kingdom,2,2.0
213800H2CDP9I374WH83,BE0974338700,True,True,213800H2CDP9I374WH83,Titan Cement International SA,Belgium,15,13.239999999999998
213800KFNMVI8PDZX472,GB00BND88V85,True,True,213800KFNMVI8PDZX472,Bridgepoint Group PLC,United Kingdom,54,16.5
213800KT8MEUJEJ2KW41,GRC3931237D6,True,True,213800KT8MEUJEJ2KW41,Metlen Energy & Metals SA,Greece,5,4.65
213800KT8MEUJEJ2KW41,GRS393503008,True,True,213800KT8MEUJEJ2KW41,Metlen Energy & Metals SA,Greece,5,4.65
213800LH1BZH3DI6G760,GB0001385250,True,True,213800LH1BZH3DI6G760,BP PLC,United Kingdom,53,25.5535
213800LH1BZH3DI6G760,GB0001385474,True,True,213800LH1BZH3DI6G760,BP PLC,United Kingdom,53,25.5535
213800LH1BZH3DI6G760,GB0007980591,True,True,213800LH1BZH3DI6G760,BP PLC,United Kingdom,53,25.5535
213800LOZA69QFDC9N34,GB00BMWC6P49,True,True,213800LOZA69QFDC9N34,Mondi PLC,United Kingdom,10,10.0
213800OU3FQKGM4M2U23,ES0130960018,True,True,213800OU3FQKGM4M2U23,Enagás SA,Spain,65,52.5171204
213800T9Y5XCOVRZ4Y57,GRS434003000,True,True,213800T9Y5XCOVRZ4Y57,Public Power Corporation SA,Greece,27,27.0
213800U3Y9UL7Y4QVM11,GRC4261213D5,True,True,213800U3Y9UL7Y4QVM11,Motor Oil Hellas SA,Greece,3,1.85
213800U3Y9UL7Y4QVM11,GRS426003000,True,True,213800U3Y9UL7Y4QVM11,Motor Oil Hellas SA,Greece,3,1.85
213800WKOUWXWFJ5Z514,NO0010208051,True,True,213800WKOUWXWFJ5Z514,Yara International ASA,Norway,3,3.0
