entity_id,name,hq,n_assets,lookthrough_assets,lei,permid,cik,has_lei,has_cik,has_permid,gleif_status,gleif_category
E100001015278,ONEOK Inc,United States,39,29.950000000000003,2T3D6M0JSY48PSZI1Q41,4295904660,1039684.0,True,True,True,ACTIVE,GENERAL
E100002006770,UBS Fund Management (Switzerland) AG,Switzerland,37,1.4850000000000008,5493003QNP1E68GGMZ05,5000045580,,True,False,True,ACTIVE,GENERAL
E100000001005,UBS Group AG,Switzerland,36,2.284925999999999,549300SZJ9VS8SGXAN81,5043337560,,True,False,True,ACTIVE,GENERAL
E100000001282,Phillips 66 ,United States,35,20.002692,5493005JBO5YSIGK1814,5037128948,1534701.0,True,True,True,ACTIVE,GENERAL
E100000000608,Enel SpA,Italy,35,33.5,WOCMU6HCI0OJWNPRZS33,4295875798,,True,False,True,ACTIVE,GENERAL
E100000001283,Pinnacle West Capital Corp,United States,35,34.26,TWSEY0NEDUDCKS27AH81,4295904735,764622.0,True,True,True,ACTIVE,GENERAL
E100000001324,WEC Energy Group Inc,United States,34,31.17,549300IGLYTZUK3PVP70,4295905346,783325.0,True,True,True,ACTIVE,GENERAL
E100002004748,DTE Energy Co,United States,32,28.67,549300IX8SD6XXD71I78,4295903858,936340.0,True,True,True,ACTIVE,GENERAL
E100000000978,Naturgy Energy Group SA,Spain,31,24.523999999999997,TL2N6M87CW970S5SV098,4295889554,,True,False,True,ACTIVE,GENERAL
E100000001454,E.ON SE,Germany,30,23.148000000000003,Q9MAIUP40P25UFBFG033,5057957727,,True,False,True,ACTIVE,GENERAL
E100000001116,National Grid PLC,United Kingdom,28,28.0,8R95QZMKZLJX5Q2XR704,4295894468,,True,False,True,ACTIVE,GENERAL
E100001011247,ConocoPhillips Corp,United States,28,5.111999999999999,WPTL2Z3FIYTHSP5V2253,4295903051,1163165.0,True,True,True,ACTIVE,GENERAL
E100000001173,Carlyle Group Inc,United States,28,17.781,529900NGGVF94UK6PG95,5035741840,1527166.0,True,True,True,ACTIVE,GENERAL
E100000001223,General Electric Co,United States,27,12.213,3C7474T6CDKPR9K6YT90,4295903128,40545.0,True,True,True,ACTIVE,GENERAL
E100000001269,OGE Energy Corp,United States,27,24.81000000000001,CE5OG6JPOZMDSA0LAQ19,4295904641,1021635.0,True,True,True,ACTIVE,GENERAL
