subject,party,party_name,bucket,residual
E100000150171,E100000135552,Ardian France,build-out,False
E100002005704,E100001015587,small shareholder(s),build-out,True
E100000001758,E100001011471,Government of Argentina,build-out,False
E100001000551,E100001000653,Core Natural Resources,build-out,False
E100000132524,E100002016526,Arauco Wood,build-out,False
E100002004464,E100000123261,natural person(s),build-out,True
E100000001758,E100000123261,natural person(s),build-out,True
E100001010967,E100001010964,Government of Tajikistan,build-out,False
E100000002576,E100001010043,Constellation Energy Generation,build-out,False
E100001000618,E100001015587,small shareholder(s),build-out,True
E100000135826,E100001000348,BlackRock,build-out,False
E100002020376,E100000001245,Kinder Morgan,build-out,False
E100000120706,E100000120823,Marubeni Clean Power,build-out,False
E100002015538,E100002004544,Grupo Estrella Holdings,build-out,False
E100000002293,E100002001974,member/employee owned,build-out,False
E100002017265,E100002010531,BNP Paribas Nominees Pty Ltd Acf Clearstream,build-out,False
E100000001001,E100002006770,UBS Fund Management (Switzerland),build-out,False
E100001015906,E100001015587,small shareholder(s),build-out,True
E100000002475,E100000002874,ERANOVE,build-out,False
E100000133645,E100000000407,EnBW Energie Baden-Württemberg,build-out,False
E100001014835,E100002022325,City of Geneva,build-out,False
E100002002452,E100000123261,natural person(s),build-out,True
E100002002641,E100001015587,small shareholder(s),build-out,True
E100001000618,E100002021192,Intrepid Holdings,build-out,False
E100001015944,E100000001282,Phillips 66,build-out,False
E100002017729,E100000135873,Novatus Energy,build-out,False
E100001011965,E100000001322,Vistra,build-out,False
E100002016845,E100001015587,small shareholder(s),build-out,True
E100000133592,E100000000781,OQ,build-out,False
E100002017722,E100001000903,Adani Global,build-out,False
E100002006061,E100001011407,UNACEM Corp,build-out,False
E100002016682,E100002016687,Wholton Company,build-out,False
E100001010593,E100000000372,UPM-Kymmene,build-out,False
E100001015530,E100001015531,CEPS,build-out,False
E100000132208,E100001015587,small shareholder(s),build-out,True
E100000153651,E100001016782,China Southern Power Grid International (HK),build-out,False
E100000001552,E100000000960,Samsung C&T,build-out,False
E100002020705,E100000003431,Kindle Energy,build-out,False
E100002006053,E100000187709,Votorantim Cimentos,build-out,False
E100002006276,E100002006277,InterCement Participações,build-out,False
E100001015944,E100000000746,Shell,build-out,False
E100002019658,E100002019659,Foundry Ridge Holdings,build-out,False
