entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000000472,0.0,582.0,0.0,March 2025,zero,"GEK TERNA Holdings, Real Estate, Construction",582.0,582.0,1.0,0.0
E100000000473,0.0,441.65,0.0,March 2025,zero,HELLENiQ ENERGY Holdings,441.65,441.65,1.0,0.0
E100000000475,0.0,2040.6,0.0,March 2025,zero,Metlen Energy & Metals,2040.6,2040.6,1.0,0.0
E100000000476,1985.0,2662.0,0.0,March 2025,zero,Public Power Corporation,4647.0,4647.0,1.0,0.4271573057886809
E100000000480,0.0,4297.3,110.0,March 2025,zero,CGN Energy International Holding,4297.3,4407.3,0.9750414085721417,0.0
E100000000481,3794.0,2073.5,0.0,March 2025,zero,CLP Holdings,5867.5,5867.5,1.0,0.6466126970600767
E100000000483,12137.02,815.2,0.0,March 2025,zero,China Power International Development,12952.220000000001,12952.220000000001,1.0,0.9370609825960337
E100000000487,2000.0,1995.0,0.0,March 2025,zero,HK Electric Investments and HK Electric Investments,3995.0,3995.0,1.0,0.5006257822277848
E100000000505,0.0,197.0,0.0,March 2025,zero,MOL Magyar Olajes Gazipari,197.0,197.0,1.0,0.0
E100000000512,450.63,0.0,0.0,March 2025,zero,GVK Power & Infrastructure,450.63,450.63,1.0,1.0
E100000000513,0.0,321.82,0.0,March 2025,zero,GAIL,321.82,321.82,1.0,0.0
E100000000522,1252.0,45.2,0.0,March 2025,zero,National Aluminium,1297.2,1297.2,1.0,0.9651557200123342
E100000000524,0.0,739.25,0.0,March 2025,zero,Oil and Natural Gas Corporation,739.25,739.25,1.0,0.0
E100000000530,0.0,94.0,0.0,March 2025,zero,Tata Chemicals,94.0,94.0,1.0,0.0
E100000000531,185.0,50.0,0.0,March 2025,zero,UltraTech Cement,235.0,235.0,1.0,0.7872340425531915
E100000000533,0.0,163.93,0.0,March 2025,zero,PT Medco Energi Internasional,163.93,163.93,1.0,0.0
E100000000543,0.0,2320.8,0.0,March 2025,zero,Ghadir Investment Company,2320.8,2320.8,1.0,0.0
E100000000552,0.0,7421.4,0.0,March 2025,zero,MAPNA Group,7421.4,7421.4,1.0,0.0
E100000000580,0.0,280.8,50.0,March 2025,zero,Smurfit Kappa Group,280.8,330.8,0.848851269649335,0.0
E100000000585,0.0,258.97,0.0,March 2025,zero,Delek Group,258.97,258.97,1.0,0.0
E100000000598,0.0,146.0,0.0,March 2025,zero,Rapac Communication and Infrastructure,146.0,146.0,1.0,0.0
E100000000602,0.0,6766.5,252.0,March 2025,zero,A2A,6766.5,7018.5,0.9640948920709553,0.0
E100000000608,4550.0,7494.0,0.0,March 2025,zero,Enel,12044.0,12044.0,1.0,0.3777814679508469
E100000000610,0.0,5542.8,0.0,March 2025,zero,Eni,5542.8,5542.8,1.0,0.0
E100000000619,0.0,241.6,0.0,March 2025,zero,Hera,241.6,241.6,1.0,0.0
E100000000620,0.0,2523.0,0.0,March 2025,zero,Iren,2523.0,2523.0,1.0,0.0
E100000000630,5522.49,25652.77,160.8,March 2025,zero,Chubu Electric Power,31175.260000000002,31336.06,0.9948685316533094,0.17714335020782504
E100000000635,0.0,1122.0,67.5,March 2025,zero,ENEOS Holdings,1122.0,1189.5,0.9432534678436317,0.0
E100000000638,0.0,361.39,0.0,March 2025,zero,INPEX,361.39,361.39,1.0,0.0
E100000000639,0.0,138.58,24.5,March 2025,zero,Idemitsu Kosan,138.58,163.08,0.849766985528575,0.0
E100000000641,9538.65,8306.59,0.0,March 2025,zero,J-POWER,17845.239999999998,17845.239999999998,1.0,0.5345206901112005
E100000000643,0.0,281.7,0.0,March 2025,zero,JFE Holdings,281.7,281.7,1.0,0.0
E100000000645,0.0,0.0,0.0,March 2025,zero,Japan Petroleum Exploration,0.0,0.0,,
E100000000646,1947.6,11365.0,331.0,March 2025,zero,Kansai Electric Power,13312.6,13643.6,0.9757395408836378,0.14629749260099453
E100000000647,2700.0,1248.2,0.0,March 2025,zero,Kobe Steel,3948.2,3948.2,1.0,0.6838559343498304
E100000000648,3307.65,6746.2,116.9,March 2025,zero,Kyushu Electric Power,10053.85,10170.75,0.9885062556841925,0.32899337069878704
E100000000649,1357.63,4809.82,35.52,March 2025,zero,Marubeni,6167.45,6202.97,0.994273710819172,0.22012825397854868
E100000000650,472.15,3579.0,123.2,March 2025,zero,Mitsubishi,4051.15,4174.35,0.9704864230359217,0.11654715327746441
E100000000651,1243.99,5859.32,0.0,March 2025,zero,Mitsui &,7103.3099999999995,7103.3099999999995,1.0,0.17512821487447403
E100000000652,2253.15,1724.95,0.0,March 2025,zero,Nippon Steel,3978.1000000000004,3978.1000000000004,1.0,0.5663884769110882
E100000000654,246.05,3805.17,112.12,March 2025,zero,Osaka Gas,4051.2200000000003,4163.34,0.9730696988475599,0.060734791001229256
E100000000655,1508.45,2077.25,0.0,March 2025,zero,Shikoku Electric Power Co,3585.7,3585.7,1.0,0.4206849429679003
E100000000656,0.0,807.95,36.75,March 2025,zero,Sojitz,807.95,844.7,0.9564934296199834,0.0
E100000000657,1540.21,2221.25,50.0,March 2025,zero,Sumitomo,3761.46,3811.46,0.9868816673925478,0.40947132230570044
E100000000658,5356.99,6721.0,0.0,March 2025,zero,Tohoku Electric Power,12077.99,12077.99,1.0,0.44353323690448493
E100000000659,5603.04,25783.52,0.0,March 2025,zero,Tokyo Electric Power,31386.56,31386.56,1.0,0.1785171742299889
E100000000660,0.0,362.95,51.0,March 2025,zero,Tokyo Gas,362.95,413.95,0.8767967145790554,0.0
E100000000661,0.0,29.64,0.0,March 2025,zero,Toyo Engineering,29.64,29.64,1.0,0.0
E100000000662,0.0,378.01,1.27,March 2025,zero,Toyota Tsusho,378.01,379.28,0.9966515503058427,0.0
E100000000669,0.0,88.57,0.0,March 2025,zero,National Company KazMunayGas,88.57,88.57,1.0,0.0
E100000000685,0.0,1045.0,70.0,March 2025,zero,Ignitis Grupe,1045.0,1115.0,0.9372197309417041,0.0
E100000000687,88.5,1305.11,0.0,March 2025,zero,ArcelorMittal,1393.61,1393.61,1.0,0.06350413673839884
E100000000692,0.0,483.0,0.0,March 2025,zero,Tenaris,483.0,483.0,1.0,0.0
E100000000706,6810.0,5389.8,0.0,March 2025,zero,Tenaga Nasional,12199.8,12199.8,1.0,0.5582058722274136
E100000000707,231.0,4592.5,0.0,March 2025,zero,YTL Corporation,4823.5,4823.5,1.0,0.04789053591790194
E100000000712,0.0,114.0,0.0,March 2025,zero,Cydsa,114.0,114.0,1.0,0.0
