entity_id,status
E100000004263,in old vintage only
E100000004279,in old vintage only
E100000004307,in old vintage only
E100000004314,in old vintage only
E100000004328,in old vintage only
E100000120081,in old vintage only
E100000120086,in old vintage only
E100000120150,in old vintage only
E100000120153,in old vintage only
E100000120155,in old vintage only
E100000120158,in old vintage only
E100000120205,in old vintage only
E100000120242,in old vintage only
E100000120263,in old vintage only
E100000120265,in old vintage only
E100000120296,in old vintage only
E100000120304,in old vintage only
E100000120308,in old vintage only
E100000120317,in old vintage only
E100000120331,in old vintage only
E100000120354,in old vintage only
E100000120383,in old vintage only
E100000120389,in old vintage only
E100000120399,in old vintage only
E100000120402,in old vintage only
E100000120403,in old vintage only
E100000120452,in old vintage only
E100000120453,in old vintage only
E100000120464,in old vintage only
E100000120495,in old vintage only
E100000120521,in old vintage only
E100000120525,in old vintage only
E100000120539,in old vintage only
E100000120541,in old vintage only
E100000120543,in old vintage only
E100000120550,in old vintage only
E100000120562,in old vintage only
E100000120567,in old vintage only
E100000120574,in old vintage only
E100000120588,in old vintage only
E100000120589,in old vintage only
E100000120590,in old vintage only
E100000120664,in old vintage only
E100000120669,in old vintage only
E100000120670,in old vintage only
E100000120682,in old vintage only
E100000120703,in old vintage only
E100000120710,in old vintage only
E100000120737,in old vintage only
E100000120760,in old vintage only
E100000120769,in old vintage only
E100000120777,in old vintage only
E100000120778,in old vintage only
E100000120836,in old vintage only
E100000120850,in old vintage only
E100000120874,in old vintage only
E100000120894,in old vintage only
E100000120900,in old vintage only
E100000120928,in old vintage only
E100000120932,in old vintage only
E100000120964,in old vintage only
E100000120984,in old vintage only
E100000120985,in old vintage only
E100000121045,in old vintage only
E100000121062,in old vintage only
E100000121063,in old vintage only
E100000121093,in old vintage only
E100000121097,in old vintage only
E100000121120,in old vintage only
E100000121121,in old vintage only
E100000121135,in old vintage only
E100000121138,in old vintage only
E100000121140,in old vintage only
E100000121153,in old vintage only
E100000121166,in old vintage only
E100000121208,in old vintage only
E100000121212,in old vintage only
E100000121228,in old vintage only
E100000121238,in old vintage only
E100000121305,in old vintage only
E100000121322,in old vintage only
E100000121339,in old vintage only
E100000121359,in old vintage only
E100000121360,in old vintage only
E100000121376,in old vintage only
E100000121397,in old vintage only
E100000121447,in old vintage only
E100000121456,in old vintage only
E100000121509,in old vintage only
E100000121518,in old vintage only
E100000121528,in old vintage only
E100000121542,in old vintage only
E100000121551,in old vintage only
E100000121560,in old vintage only
E100000121576,in old vintage only
E100000121598,in old vintage only
E100000121876,in old vintage only
E100000123048,in old vintage only
E100000123057,in old vintage only
E100000123951,in old vintage only
E100000123961,in old vintage only
E100000124677,in old vintage only
E100000124678,in old vintage only
E100000125231,in old vintage only
E100000125968,in old vintage only
E100000126087,in old vintage only
E100000126377,in old vintage only
E100000126489,in old vintage only
E100000126981,in old vintage only
E100000127986,in old vintage only
E100000129837,in old vintage only
E100000130202,in old vintage only
E100000130574,in old vintage only
E100000130575,in old vintage only
E100000130783,in old vintage only
E100000130850,in old vintage only
E100000130875,in old vintage only
E100000130931,in old vintage only
E100000130979,in old vintage only
E100000130980,in old vintage only
E100000131019,in old vintage only
E100000131035,in old vintage only
E100000131077,in old vintage only
E100000131078,in old vintage only
E100000131094,in old vintage only
E100000131183,in old vintage only
E100000131184,in old vintage only
E100000131189,in old vintage only
E100000131200,in old vintage only
E100000131208,in old vintage only
E100000131210,in old vintage only
E100000131217,in old vintage only
E100000131226,in old vintage only
E100000131232,in old vintage only
E100000131233,in old vintage only
E100000131236,in old vintage only
E100000131255,in old vintage only
E100000131256,in old vintage only
E100000131257,in old vintage only
E100000131258,in old vintage only
E100000131262,in old vintage only
E100000131266,in old vintage only
E100000131273,in old vintage only
E100000131277,in old vintage only
E100000131284,in old vintage only
E100000131300,in old vintage only
E100000131302,in old vintage only
E100000131316,in old vintage only
E100000131322,in old vintage only
E100000131323,in old vintage only
E100000131326,in old vintage only
E100000131330,in old vintage only
E100000131331,in old vintage only
E100000131337,in old vintage only
E100000131339,in old vintage only
